Restaurant Name,Location,Foods,Keywords,Comments,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu","Mr.Kottu, your service is the worst to ultra terrible.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Cheese, Cheese Kottu, CHEESE KOTTU, CHEESE KOTHTHU, cheese koththu","Mr.Kottu, your service is the worst to ultra terrible.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Cheese, Cheese Kottu, CHEESE KOTTU, CHEESE KOTHTHU, cheese koththu","We had a cheese koththu and a nasi goreng. Portion was enough for two and tasty, well served. Highly recommend this place for anyone around.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Nasi Goreng,"Nase Goreng, Nasi Goreng","We had a cheese koththu and a nasi goreng. Portion was enough for two and tasty, well served. Highly recommend this place for anyone around.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu","Good place, Good food and most importantly Good service.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",So it is really delicious and reasonable for all.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",Worst Kottu I had in recent time.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Seafood Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu, Seafood Chicken Kottu, SEAFOOD CHICKEN KOTTU",Not recommend.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",Worst Chicken kottu I have ever had. Not worth for price.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",Cheese Kottu is like eating thambapu kos or ????. Terrible. Waste of money.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Palandi Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu, Cheese Kottu, CHEESE KOTTU",These places dont look alike as seen in videos.,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu",Not bad but bit overpriced,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Chicken Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu","Kottu is very average. Its good, but not very good. Definitely not worth the money.",,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, kottu chicken, chicken kottu, Cheese Kottu",people expect something more! This is not even close to Koththu!,,,,,,,,,,,,,,,
Mr. Kottu Grand - Maharagama,"6.846432202382021, 79.93128040191932",Masala Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, Masala Kottu, Masala koththu, Masala",masala kottu is amazing,,,,,,,,,,,,,,,
The Embazzy,"6.910640824468402, 79.85879635697717",Seafood fried rice,"Fired Rice, Seafood, Seafood Rice, SEAFOOD RICE ",Great calm atmosphere with some exceptional food,,,,,,,,,,,,,,,
The Embazzy,"6.910640824468402, 79.85879635697717",Nasi Goreng,"Nase Goreng, Nasi Goreng",Prices are definitely on the higher side ,,,,,,,,,,,,,,,
The Embazzy,"6.910640824468402, 79.85879635697717",Cheese Kottu,"kottu, kothtu, kotthu, kottu roti, Kottu, KOTTU, KOTHTHU, Chicken Kottu, CHICKEN KOTTU, kottu chicken, chicken kottu", Great place for a hangout. Food was good,,,,,,,,,,,,,,,
The Embazzy,"6.910640824468402, 79.85879635697717",Pasta,"Pasta, Pastha, paasta, pesta",The WORST pasta in town! Horrible food.,,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Sushi ,"suchi, sushi, sooshi",That was probably among the worst sushi we've had in Colombo!,,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Prawns,"prawns, prwns, prawn",The prawns were slightly overcooked. Nice displays of seafood but execution was quite poor.,,,,,,,,,,,,,,,
The Lagoon,"6.920303878584742, 79.84989129862907",Mash Potatoes,"Mash Potatoes, Potatoes, Mash, potatao",It had the consistency of a thick soup with no taste of potatoes. I could only have one spoon of it. ,,,,,,,,,,,,,,,
